# Number of SETs in each Table

697 683 653 681 673 666 651 673 681 659 

# Number of Tables with 0 SETs: 0/10

# Probability of no SETs: 0% 

# Average number of SETs: 671.7

# Tables considered

0 -1 0 0 -1 
-1 -1 -1 1 0 
1 0 -1 1 -1 
1 1 1 1 1 
0 -1 0 1 -1 
1 1 0 0 -1 
-1 1 -1 0 -1 
-1 0 1 0 0 
0 -1 1 -1 0 
-1 1 0 0 1 
1 1 1 1 -1 
1 1 0 0 0 
0 0 -1 1 -1 

-1 1 -1 1 1 
1 0 1 1 0 
-1 -1 -1 0 1 
0 0 0 1 1 
-1 1 1 1 1 
-1 -1 0 1 0 
0 0 -1 0 -1 
0 0 1 0 0 
0 1 0 0 1 
-1 0 1 -1 1 
-1 0 0 -1 -1 
1 1 0 -1 0 
0 -1 0 0 1 
0 1 1 0 -1 
0 -1 -1 0 1 
-1 1 0 1 -1 
1 1 -1 0 1 
-1 -1 0 0 -1 
-1 1 0 0 -1 
1 0 0 -1 0 
0 -1 1 1 0 
1 1 1 0 0 
1 -1 0 1 1 
1 0 0 0 -1 
1 -1 -1 1 0 
-1 0 1 -1 0 
0 -1 -1 1 0 
1 -1 -1 -1 -1 
0 1 0 1 1 
1 0 0 0 1 
0 1 0 -1 -1 
1 0 0 1 -1 
1 1 0 1 1 
1 -1 -1 0 -1 
1 -1 0 -1 1 
-1 0 1 1 -1 
1 1 1 -1 -1 
-1 -1 0 0 0 
1 1 -1 1 -1 
-1 1 1 0 1 
-1 -1 1 -1 -1 
0 -1 1 1 1 
-1 -1 0 1 -1 
0 0 0 0 1 
-1 -1 1 -1 1 
0 -1 1 1 -1 
0 1 0 1 0 
1 0 0 0 0 
0 0 0 0 -1 
-1 0 -1 1 0 
1 -1 -1 1 -1 
0 -1 1 0 1 
-1 0 1 -1 -1 
1 -1 -1 -1 0 
0 1 0 0 -1 
-1 1 -1 1 0 
1 1 0 1 -1 
-1 0 0 0 -1 
0 -1 1 0 -1 
1 0 1 0 0 
0 0 0 -1 0 
-1 -1 -1 -1 -1 
0 0 0 1 -1 
-1 0 1 1 0 
1 -1 1 0 -1 
0 -1 -1 -1 1 
1 0 1 0 1 
0 -1 0 1 0 
0 1 1 1 1 
0 0 1 -1 -1 
1 0 0 1 1 
-1 0 1 0 1 
1 -1 0 1 0 
0 -1 1 -1 1 
-1 1 0 0 0 
1 1 0 1 0 
0 0 -1 -1 -1 
1 0 1 1 1 
-1 -1 0 -1 1 
0 0 1 0 1 
-1 0 0 1 1 
1 0 1 -1 -1 
-1 -1 0 1 1 
-1 1 1 1 -1 
1 -1 1 -1 -1 
1 -1 -1 0 1 
1 0 -1 -1 0 
1 1 -1 0 -1 
0 -1 -1 1 -1 
1 -1 1 -1 0 
0 -1 0 1 1 
1 0 1 0 -1 
1 1 0 0 1 
1 -1 0 -1 0 
1 1 1 -1 1 
-1 0 1 1 1 
1 1 1 1 0 
1 1 0 0 -1 
1 0 1 -1 0 
1 0 -1 0 0 

-1 -1 -1 0 1 
0 0 -1 1 0 
0 1 0 0 0 
1 -1 0 0 -1 
-1 -1 1 1 -1 
-1 -1 -1 0 -1 
0 1 0 1 1 
-1 -1 1 -1 -1 
0 0 0 -1 0 
-1 1 1 1 1 
1 1 -1 0 -1 
-1 -1 -1 1 1 
1 0 -1 -1 0 
0 0 -1 0 -1 
0 1 1 1 0 
0 0 -1 1 1 
1 -1 -1 0 -1 
1 -1 -1 -1 1 
0 0 1 -1 -1 
1 0 0 1 1 
-1 1 0 -1 -1 
0 -1 1 0 -1 
-1 -1 1 -1 0 
1 -1 1 1 0 
-1 -1 0 0 -1 
-1 1 0 0 -1 
-1 0 0 -1 0 
0 -1 0 1 -1 
1 0 0 1 0 
1 1 -1 0 1 
1 -1 0 -1 0 
1 0 -1 -1 -1 
0 1 -1 -1 0 
1 -1 -1 0 0 
-1 -1 1 0 1 
-1 1 -1 0 -1 
0 0 1 -1 0 
-1 0 1 -1 0 
1 0 1 0 1 
0 1 1 1 1 
0 0 -1 1 -1 
0 -1 0 1 0 
-1 -1 1 -1 1 
-1 1 -1 -1 -1 
1 0 1 1 -1 
-1 0 0 0 1 
-1 -1 -1 -1 -1 
1 -1 0 0 1 
1 1 0 0 1 
1 0 1 0 -1 
0 -1 0 1 1 
0 0 0 -1 1 
1 1 1 -1 -1 
0 -1 -1 0 0 
-1 -1 0 -1 1 
1 1 0 1 0 
1 1 1 0 1 
1 -1 0 0 0 
0 -1 1 1 1 
1 0 -1 0 -1 
1 -1 1 -1 0 
-1 0 -1 1 1 
1 1 -1 -1 0 
0 1 0 1 0 
1 0 0 1 -1 
0 0 0 1 1 
0 -1 1 0 1 
0 1 -1 0 -1 
1 1 0 -1 1 
0 -1 1 -1 0 
0 1 -1 -1 1 
-1 0 1 0 0 
1 0 -1 1 1 
0 0 0 0 1 
0 -1 -1 0 -1 
0 -1 -1 0 1 
-1 -1 0 -1 -1 
-1 0 0 0 -1 
-1 1 0 0 1 
0 -1 1 -1 -1 
1 -1 0 1 1 
1 1 1 -1 0 
0 -1 -1 -1 0 
-1 0 -1 0 0 
1 1 1 0 0 
1 0 -1 0 1 
0 -1 1 1 0 
0 -1 -1 -1 -1 
-1 0 -1 0 -1 
1 -1 1 1 1 
-1 1 1 0 1 
1 1 0 -1 0 
-1 1 0 -1 1 
1 1 -1 0 0 
0 -1 -1 1 0 
-1 1 -1 0 1 
-1 -1 1 0 0 
-1 -1 0 -1 0 
1 -1 1 1 -1 
-1 1 1 0 -1 

1 -1 -1 1 1 
0 0 -1 -1 1 
0 1 1 -1 0 
1 0 1 -1 1 
0 -1 1 1 0 
-1 0 0 0 -1 
0 1 -1 1 0 
-1 0 0 -1 -1 
1 -1 1 0 -1 
-1 0 0 -1 0 
-1 -1 -1 -1 0 
-1 -1 -1 0 -1 
0 1 1 0 -1 
1 1 -1 0 -1 
-1 0 0 -1 1 
1 0 0 -1 1 
1 0 1 -1 -1 
0 -1 1 1 1 
1 1 1 0 1 
1 -1 -1 -1 1 
0 1 -1 -1 0 
-1 -1 -1 1 1 
1 0 1 1 -1 
0 1 1 -1 -1 
0 -1 0 -1 1 
1 1 -1 1 0 
-1 -1 -1 0 1 
-1 0 -1 -1 1 
0 -1 1 0 0 
-1 1 0 -1 -1 
-1 1 0 1 0 
1 -1 0 -1 0 
0 0 0 1 -1 
-1 0 -1 -1 0 
1 0 0 1 0 
0 1 -1 -1 -1 
0 -1 1 -1 1 
-1 -1 1 0 -1 
0 1 0 1 -1 
1 0 0 0 -1 
-1 1 -1 -1 0 
1 -1 -1 0 1 
-1 1 1 -1 -1 
0 -1 -1 0 0 
-1 -1 0 -1 1 
-1 0 -1 1 0 
0 1 1 0 1 
0 -1 1 -1 0 
-1 -1 0 1 1 
1 1 -1 -1 -1 
-1 -1 1 1 1 
0 0 1 0 -1 
0 1 0 0 1 
1 0 0 -1 0 
-1 0 -1 0 1 
-1 1 1 0 0 
1 1 -1 1 1 
0 0 -1 1 1 
-1 -1 0 0 -1 
0 -1 1 0 1 
-1 1 0 -1 1 
-1 0 1 -1 -1 
1 0 0 0 0 
0 0 1 1 1 
0 -1 1 -1 -1 
1 1 1 1 -1 
-1 0 1 0 -1 
1 -1 0 1 1 
-1 -1 -1 -1 1 
0 0 0 -1 -1 
-1 0 1 1 -1 
0 -1 -1 0 1 
-1 -1 0 -1 -1 
0 1 0 1 1 
0 0 1 1 -1 
1 1 0 0 1 
-1 -1 -1 -1 -1 
-1 1 1 0 1 
1 1 -1 1 -1 
1 -1 1 1 1 
-1 0 0 1 -1 
1 1 0 -1 -1 
1 1 0 1 0 
0 -1 0 -1 0 
1 0 1 1 1 
-1 0 0 0 0 
0 0 -1 -1 -1 
0 0 -1 1 -1 
-1 -1 1 -1 1 
1 0 0 1 -1 
0 1 0 -1 -1 
1 -1 0 0 1 
0 -1 1 1 -1 
1 -1 -1 1 -1 
-1 1 -1 0 -1 
0 1 0 -1 1 
1 1 1 -1 0 
1 0 -1 -1 1 
1 -1 -1 0 -1 
1 -1 -1 -1 0 

-1 0 -1 0 1 
1 0 0 -1 0 
0 1 0 1 1 
0 1 -1 0 0 
-1 -1 -1 -1 1 
0 1 0 -1 -1 
1 1 0 0 0 
0 1 0 -1 1 
0 -1 -1 1 -1 
0 -1 1 0 0 
-1 0 -1 -1 0 
-1 -1 0 1 -1 
1 -1 0 -1 -1 
0 -1 1 1 -1 
1 1 1 0 -1 
1 0 -1 -1 -1 
-1 1 0 1 0 
0 -1 -1 0 1 
-1 -1 0 -1 -1 
0 0 0 -1 1 
1 -1 -1 -1 -1 
-1 1 1 0 1 
-1 0 -1 0 -1 
-1 1 1 0 -1 
1 -1 1 1 -1 
1 1 -1 -1 1 
1 -1 1 -1 0 
0 -1 1 -1 0 
1 1 1 1 0 
1 0 0 0 -1 
-1 1 -1 -1 0 
0 1 0 1 -1 
0 -1 -1 -1 0 
-1 1 -1 1 1 
1 0 -1 1 0 
0 0 -1 -1 1 
0 1 1 -1 0 
-1 -1 -1 0 -1 
1 1 -1 -1 -1 
-1 1 1 1 1 
0 0 -1 0 -1 
1 1 0 0 1 
0 1 1 1 -1 
-1 0 1 -1 1 
-1 1 0 -1 0 
-1 -1 -1 1 1 
0 0 0 0 -1 
0 0 0 -1 -1 
-1 -1 1 0 1 
1 -1 -1 1 -1 
0 1 0 -1 0 
-1 -1 -1 -1 0 
1 -1 0 0 -1 
1 0 -1 -1 0 
-1 -1 1 -1 1 
0 0 0 0 1 
0 0 0 -1 0 
0 -1 -1 1 1 
1 -1 1 0 0 
1 -1 0 0 0 
1 1 -1 0 0 
-1 0 0 -1 -1 
1 1 0 1 -1 
-1 0 0 0 -1 
0 -1 0 -1 -1 
-1 -1 -1 0 0 
-1 1 1 -1 -1 
1 0 -1 1 -1 
1 -1 0 1 0 
-1 0 1 0 1 
1 0 -1 0 0 
0 -1 -1 0 -1 
0 0 0 1 1 
1 1 1 -1 0 
-1 0 1 1 0 
1 0 -1 -1 1 
-1 1 0 1 1 
1 1 1 -1 -1 
1 -1 -1 -1 0 
-1 1 -1 1 0 
0 1 0 0 -1 
1 0 0 -1 1 
1 1 1 0 0 
1 0 -1 0 1 
0 -1 1 1 0 
-1 1 1 -1 1 
-1 0 -1 -1 -1 
1 0 1 0 0 
0 1 1 1 0 
1 -1 0 1 1 
-1 1 0 0 1 
1 1 1 1 -1 
-1 0 1 0 -1 
-1 0 -1 -1 1 
0 0 1 0 1 
1 1 0 -1 -1 
0 0 1 -1 0 
1 0 1 1 1 
-1 1 1 1 -1 
1 -1 1 -1 -1 

